# pnl-and-cash.csv — P&L + cash. Monthly M1-M36 then annual Y1-Y5 per scenario. USD. Estimates.
# COGS = infra cost/run + payment fees (2.9% GMV) + payout handling (0.4% GMV).

"=== SCENARIO: CONSERVATIVE — MONTHLY (M1-M36) — opening cash = raise $9,000,000 ==="
month,calendar,revenue,cogs,infra_cost,payment_fees,payout_handling,gross_profit,gross_margin_pct,s_and_m,r_and_d,g_and_a,ebitda,cash_eom,monthly_burn
1,2027-01,116,0,0,0,0,116,100.0,33320,43021,24961,-101186,8898814,101186
2,2027-02,125,0,0,0,0,125,100.0,35916,46373,26906,-109070,8789744,109070
3,2027-03,136,0,0,0,0,136,100.0,38513,49725,28851,-116953,8672791,116953
4,2027-04,4479,995,172,724,100,3483,77.8,41109,53078,30796,-121499,8551292,121499
5,2027-05,8695,1941,335,1411,195,6754,77.7,43705,56430,32741,-126122,8425170,126122
6,2027-06,12789,2839,489,2065,285,9950,77.8,46302,59782,34686,-130819,8294350,130819
7,2027-07,15229,3350,578,2436,336,11879,78.0,48898,63134,36631,-136784,8157566,136784
8,2027-08,18096,3945,680,2869,396,14152,78.2,51495,66487,38576,-142406,8015160,142406
9,2027-09,21458,4635,799,3371,465,16823,78.4,54091,69839,40521,-147628,7867532,147628
10,2027-10,25390,5435,937,3952,545,19955,78.6,56687,73191,42466,-152389,7715143,152389
11,2027-11,29978,6358,1096,4624,638,23619,78.8,59284,76544,44411,-156619,7558524,156619
12,2027-12,35319,7423,1280,5399,745,27895,79.0,61880,79896,46356,-160236,7398288,160236
13,2028-01,41521,8648,1491,6290,868,32873,79.2,81760,100479,53952,-203319,7194970,203319
14,2028-02,48707,10054,1733,7312,1009,38653,79.4,88131,108309,58157,-215943,6979027,215943
15,2028-03,57011,11662,2011,8482,1170,45349,79.5,94502,116138,62361,-227652,6751375,227652
16,2028-04,66585,13499,2327,9818,1354,53086,79.7,100873,123968,66565,-238319,6513056,238319
17,2028-05,77595,15591,2688,11339,1564,62004,79.9,107244,131797,70769,-247806,6265250,247806
18,2028-06,90226,17969,3098,13068,1803,72257,80.1,113615,139627,74973,-255958,6009292,255958
19,2028-07,104680,20665,3563,15029,2073,84015,80.3,119985,147456,79177,-262604,5746688,262604
20,2028-08,120089,23713,4088,17246,2379,96376,80.3,126356,155286,83381,-268647,5478041,268647
21,2028-09,137469,27151,4681,19746,2724,110318,80.2,132727,163116,87585,-273110,5204931,273110
22,2028-10,157024,31020,5348,22560,3112,126004,80.2,139098,170945,91789,-275828,4929102,275828
23,2028-11,178972,35363,6097,25718,3547,143610,80.2,145469,178775,95993,-276627,4652475,276627
24,2028-12,203545,40225,6935,29255,4035,163319,80.2,151840,186604,100197,-275322,4377153,275322
25,2029-01,230985,45655,7872,33204,4580,185330,80.2,153160,186667,96273,-250770,4126383,250770
26,2029-02,261552,51705,8915,37603,5187,209847,80.2,165095,201212,103775,-260235,3866148,260235
27,2029-03,290966,57524,9918,41836,5770,233442,80.2,177029,215758,111277,-270622,3595526,270622
28,2029-04,315698,62414,10761,45392,6261,253284,80.2,188964,230303,118779,-284761,3310765,284761
29,2029-05,342533,67719,11676,49250,6793,274814,80.2,200898,244848,126281,-297214,3013552,297214
30,2029-06,371648,73475,12668,53437,7371,298173,80.2,212833,259394,133782,-307836,2705715,307836
31,2029-07,403238,79721,13745,57979,7997,323518,80.2,224767,273939,141284,-316473,2389242,316473
32,2029-08,437513,86497,14913,62907,8677,351017,80.2,236702,288485,148786,-322956,2066286,322956
33,2029-09,474702,93849,16181,68254,9414,380853,80.2,248636,303030,156288,-327102,1739184,327102
34,2029-10,515052,101826,17556,74055,10215,413225,80.2,260571,317576,163790,-328711,1410473,328711
35,2029-11,558831,110482,19049,80350,11083,448350,80.2,272505,332121,171292,-327569,1082905,327569
36,2029-12,606332,119872,20668,87180,12025,486459,80.2,284440,346667,178793,-323441,759464,323441

=== SCENARIO: CONSERVATIVE — ANNUAL (Y1-Y5) ===
year,calendar,revenue,cogs,gross_profit,gross_margin_pct,s_and_m,r_and_d,g_and_a,total_opex,ebitda,ebitda_margin_pct,headcount
Y1,2027,171810,36921,134888,78.5,571200,737500,427900,1736600,-1601712,-932.3,7
Y2,2028,1283424,255560,1027864,80.1,1401600,1722500,924900,4049000,-3021136,-235.4,17
Y3,2029,4809051,950740,3858311,80.2,2625600,3200000,1650400,7476000,-3617689,-75.2,32
Y4,2030,7622824,1521183,6101641,80.0,4435200,5305000,2703800,12444000,-6342359,-83.2,54
Y5,2031,10753183,2160080,8593103,79.9,6580800,7882500,3905700,18369000,-9775897,-90.9,81

"CONSERVATIVE CASH SUMMARY: implied raise (calc, 36mo trough + 6mo buffer)",9613959
CONSERVATIVE clean raise modeled,9000000
CONSERVATIVE 36mo cumulative cash needed (pre-raise trough),8240536
CONSERVATIVE min cash within 36mo (with raise),759464
CONSERVATIVE avg monthly burn (burning months),228904

"=== SCENARIO: BASE — MONTHLY (M1-M36) — opening cash = raise $5,000,000 ==="
month,calendar,revenue,cogs,infra_cost,payment_fees,payout_handling,gross_profit,gross_margin_pct,s_and_m,r_and_d,g_and_a,ebitda,cash_eom,monthly_burn
1,2027-01,180,0,0,0,0,180,100.0,47133,57458,30158,-134570,4865430,134570
2,2027-02,198,0,0,0,0,198,100.0,50806,61936,32508,-145052,4720378,145052
3,2027-03,218,0,0,0,0,218,100.0,54479,66413,34858,-155532,4564846,155532
4,2027-04,9670,1971,308,1462,202,7699,79.6,58152,70890,37208,-158551,4406295,158551
5,2027-05,18886,3860,603,2862,395,15027,79.6,61824,75367,39558,-161723,4244571,161723
6,2027-06,27873,5669,886,4203,580,22205,79.7,65497,79845,41908,-165045,4079526,165045
7,2027-07,33920,6848,1070,5077,700,27072,79.8,69170,84322,44258,-170678,3908848,170678
8,2027-08,41177,8252,1289,6118,844,32926,80.0,72842,88799,46608,-175324,3733524,175324
9,2027-09,49865,9918,1550,7354,1014,39947,80.1,76515,93277,48958,-178803,3554720,178803
