# revenue-buildup.csv — bottoms-up: supply -> agents -> buyers -> runs -> GMV -> revenue
# Monthly Months 1-36 (Jan2027=M1). Then ANNUAL Y1-Y5 per scenario. All USD. Estimates.

=== SCENARIO: CONSERVATIVE — MONTHLY (M1-M36) ===
month,calendar,year,cum_builders,active_builders,published_agents,active_buyers,runs_per_mo,gmv,eff_take_rate_pct,take_rate_rev,infra_margin_rev,subscription_rev,total_rev
1,2027-01,1,35,19,35,0,0,0,11.7,0,0,116,116
2,2027-02,1,38,21,38,0,0,0,11.9,0,0,125,125
3,2027-03,1,41,23,41,0,0,0,12.1,0,0,136,136
4,2027-04,1,45,25,44,100,7800,24960,12.2,3058,874,548,4479
5,2027-05,1,49,27,48,195,15210,48672,12.4,6052,1704,940,8695
6,2027-06,1,53,29,52,285,22250,71198,12.6,8983,2492,1315,12789
7,2027-07,1,57,31,57,337,26254,84014,12.8,10754,2940,1535,15229
8,2027-08,1,62,34,61,396,30915,98927,13.0,12844,3462,1790,18096
9,2027-09,1,67,37,67,466,36325,116239,13.2,15305,4068,2085,21458
10,2027-10,1,73,40,72,546,42591,136290,13.4,18195,4770,2425,25390
11,2027-11,1,79,44,78,639,49831,159459,13.5,21580,5581,2817,29978
12,2027-12,1,86,47,85,746,58178,186169,13.7,25536,6516,3267,35319
13,2028-01,2,93,51,92,869,67777,216887,13.9,30147,7591,3783,41521
14,2028-02,2,101,56,100,1010,78791,252131,14.1,35508,8825,4374,48707
15,2028-03,2,110,60,109,1172,91397,292471,14.3,41726,10237,5049,57011
16,2028-04,2,119,65,118,1356,105792,338536,14.4,48918,11849,5818,66585
17,2028-05,2,129,71,128,1567,122190,391009,14.6,57218,13685,6692,77595
18,2028-06,2,140,77,139,1805,140824,450638,14.8,66769,15772,7684,90226
19,2028-07,2,152,84,150,2076,161948,518233,15.0,77735,18138,8807,104680
20,2028-08,2,165,91,163,2383,185835,594673,15.0,89201,20814,10074,120089
21,2028-09,2,179,98,177,2728,212781,680900,15.0,102135,23832,11502,137469
22,2028-10,2,194,107,192,3117,243103,777928,15.0,116689,27227,13107,157024
23,2028-11,2,211,116,209,3553,277137,886838,15.0,133026,31039,14907,178972
24,2028-12,2,229,126,226,4042,315243,1008779,15.0,151317,35307,16920,203545
25,2029-01,3,248,136,245,4587,357801,1144964,15.0,171745,40074,19167,230985
26,2029-02,3,269,148,266,5195,405210,1296672,15.0,194501,45384,21668,261552
27,2029-03,3,292,161,289,5780,450818,1442617,15.0,216393,50492,24082,290966
28,2029-04,3,317,174,314,6271,489137,1565239,15.0,234786,54783,26129,315698
29,2029-05,3,344,189,340,6804,530714,1698285,15.0,254743,59440,28350,342533
30,2029-06,3,373,205,369,7382,575825,1842639,15.0,276396,64492,30760,371648
31,2029-07,3,405,222,400,8010,624770,1999263,15.0,299889,69974,33374,403238
32,2029-08,3,439,241,435,8691,677875,2169201,15.0,325380,75922,36211,437513
33,2029-09,3,476,262,471,9429,735495,2353583,15.0,353037,82375,39289,474702
34,2029-10,3,517,284,512,10231,798012,2553637,15.0,383046,89377,42629,515052
35,2029-11,3,561,308,555,11101,865843,2770696,15.0,415604,96974,46252,558831
36,2029-12,3,608,335,602,12044,939439,3006205,15.0,450931,105217,50184,606332

=== SCENARIO: CONSERVATIVE — ANNUAL (Y1-Y5) ===
year,calendar,active_builders_end,published_agents_end,active_buyers_end,runs,gmv,take_rate_rev,infra_margin_rev,subscription_rev,total_rev
Y1,2027,47,85,746,289352,925928,122306,32407,17097,171810
Y2,2028,126,226,4042,2002819,6409022,950390,224316,108719,1283424
Y3,2029,335,602,12044,7450938,23843000,3576450,834505,398096,4809051
Y4,2030,435,783,16380,11921500,38148800,5722320,1335208,565296,7622824
Y5,2031,526,947,20508,16928530,54171296,8125694,1895995,731493,10753183

=== SCENARIO: BASE — MONTHLY (M1-M36) ===
month,calendar,year,cum_builders,active_builders,published_agents,active_buyers,runs_per_mo,gmv,eff_take_rate_pct,take_rate_rev,infra_margin_rev,subscription_rev,total_rev
1,2027-01,1,50,30,66,0,0,0,13.1,0,0,180,180
2,2027-02,1,55,33,73,0,0,0,13.3,0,0,198,198
3,2027-03,1,61,36,80,0,0,0,13.4,0,0,218,218
4,2027-04,1,67,40,88,140,14000,50400,13.6,6854,2016,800,9670
5,2027-05,1,73,44,97,274,27412,98683,13.8,13579,3947,1360,18886
6,2027-06,1,81,48,106,403,40261,144939,13.9,20175,5798,1900,27873
7,2027-07,1,89,53,117,486,48635,175086,14.1,24652,7003,2264,33920
8,2027-08,1,97,58,129,586,58605,210978,14.2,30043,8439,2695,41177
9,2027-09,1,107,64,141,704,70443,253596,14.4,36518,10144,3204,49865
10,2027-10,1,118,71,156,845,84462,304061,14.6,44271,12162,3803,60237
11,2027-11,1,130,78,171,1010,101016,363658,14.7,53530,14546,4508,72584
12,2027-12,1,143,86,188,1205,120512,433843,14.9,64556,17354,5334,87244
13,2028-01,2,157,94,207,1434,143409,516274,15.0,77648,20651,6301,104600
14,2028-02,2,173,104,228,1702,170227,612817,15.2,93148,24513,7430,125091
